Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
5,Colon,616,Poland,2,0,2017,10.69600854,25.49994759,1.210793487,163
5,Colon,630,Puerto Rico,1,0,2017,20.1883183,39.60065335,2.284527212,626
5,Colon,630,Puerto Rico,2,0,2017,15.84181641,32.27278355,1.752609712,563
5,Colon,634,Qatar,1,0,2017,17.94821986,10.12487344,2.548927471,15
5,Colon,634,Qatar,2,0,2017,11.68595234,7.845239574,1.457133636,12
5,Colon,705,Slovenia,1,0,2017,20.52589829,44.54308252,2.40251562,457
5,Colon,705,Slovenia,2,0,2017,12.73156776,32.10958019,1.478772293,334
5,Colon,752,Sweden,1,0,2017,19.67841176,45.12669349,2.205323144,2278
5,Colon,752,Sweden,2,0,2017,17.75695876,45.13245207,1.975798098,2261
5,Colon,756,Switzerland,1,0,2017,19.31769737,40.12250247,2.193856685,436
5,Colon,756,Switzerland,2,0,2017,13.95842695,33.18618425,1.482693521,374
5,Colon,764,Thailand,1,0,2017,9.88586602,15.10523502,1.167625939,402
5,Colon,764,Thailand,2,0,2017,6.74793061,11.37559165,0.7890546879,322
5,Colon,792,Türkiye,1,0,2017,15.12297576,18.97099632,1.83814967,631
5,Colon,792,Türkiye,2,0,2017,9.259523927,13.23108926,1.058193022,439
5,Colon,800,Uganda,1,0,2017,7.929494742,2.384873937,1.031059446,32
5,Colon,800,Uganda,2,0,2017,4.79376924,1.259658765,0.6394667436,19
5,Colon,8260,"UK, England",1,0,2017,20.92075458,43.96119756,2.320912761,12081
5,Colon,8260,"UK, England",2,0,2017,16.96154374,40.54960242,1.814664485,11410
5,Colon,8261,"UK, Wales",1,0,2017,21.87294899,51.48681989,2.377863708,793
5,Colon,8261,"UK, Wales",2,0,2017,17.3412351,44.85903474,1.930027807,711
5,Colon,8262,"UK, Scotland",1,0,2017,23.0548875,50.75180851,2.577941822,1340
5,Colon,8262,"UK, Scotland",2,0,2017,17.57916844,42.84431675,2.002943438,1193
5,Colon,8263,"UK, Northern Ireland",1,0,2017,20.75197589,41.72788205,2.278044348,384
5,Colon,8263,"UK, Northern Ireland",2,0,2017,19.77674655,41.44811727,2.232408902,394
5,Colon,840,USA,1,0,2017,16.84311546,27.49076241,1.867514003,4179
5,Colon,840,USA,2,0,2017,14.56252126,27.9380656,1.530509514,4357
5,Colon,8401,USA: White,1,0,2017,16.17430265,28.38830522,1.76402879,3130
5,Colon,8401,USA: White,2,0,2017,14.28465632,29.52503186,1.470812961,3268
5,Colon,8402,USA: Black,1,0,2017,22.81024664,27.37452235,2.678620222,535
5,Colon,8402,USA: Black,2,0,2017,17.69124585,25.87712979,1.949787656,555
