Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
5,Colon,840,USA,2,0,2008,17.075881,32.6912104,1.898920328,4729
5,Colon,840,USA,2,0,2009,16.50728881,31.65781083,1.811293007,4624
5,Colon,840,USA,2,0,2010,15.30628995,29.32652475,1.661809828,4319
5,Colon,840,USA,2,0,2011,14.88897913,28.68402061,1.643901685,4262
5,Colon,840,USA,2,0,2012,14.82135235,28.61689351,1.59844536,4290
5,Colon,840,USA,2,0,2013,14.12992574,27.57250258,1.561649703,4166
5,Colon,840,USA,2,0,2014,14.87913658,28.62144129,1.626382024,4359
5,Colon,840,USA,2,0,2015,14.79769129,28.35688831,1.556547006,4354
5,Colon,840,USA,2,0,2016,15.06516226,28.57986361,1.602308961,4426
5,Colon,840,USA,2,0,2017,14.56252126,27.9380656,1.530509514,4357
