Cancer id,Population id,Sex,Type,Age period,Year,Rate
5,840,1,0,70-74,1998-2002,213.6374569
5,840,1,0,70-74,2003-2007,185.3797381
5,840,1,0,70-74,2008-2012,143.4663184
5,840,1,0,70-74,2013-2017,111.269249
5,840,1,0,75-79,1978-1982,318.4193748
5,840,1,0,75-79,1983-1987,349.425148
5,840,1,0,75-79,1988-1992,327.7099902
5,840,1,0,75-79,1993-1997,293.2681734
5,840,1,0,75-79,1998-2002,281.8294263
5,840,1,0,75-79,2003-2007,233.0749399
5,840,1,0,75-79,2008-2012,184.1094061
5,840,1,0,75-79,2013-2017,143.8262147
5,840,1,0,80-84,1978-1982,403.8924163
5,840,1,0,80-84,1983-1987,430.2546441
5,840,1,0,80-84,1988-1992,412.0756069
5,840,1,0,80-84,1993-1997,366.8552805
5,840,1,0,80-84,1998-2002,337.2390989
5,840,1,0,80-84,2003-2007,288.0739417
5,840,1,0,80-84,2008-2012,228.8342821
5,840,1,0,80-84,2013-2017,190.004459
5,840,1,0,85+,1978-1982,465.9145082
5,840,1,0,85+,1983-1987,476.9217866
5,840,1,0,85+,1988-1992,455.0954575
5,840,1,0,85+,1993-1997,390.2262808
5,840,1,0,85+,1998-2002,388.9695411
5,840,1,0,85+,2003-2007,312.4573534
5,840,1,0,85+,2008-2012,258.0767948
5,840,1,0,85+,2013-2017,203.497018
